variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
gcn_gru,45,random_fixed,42,0.0914071425795555,0.1608632355928421,6.401798874139786,0.0881780609488487,0.0917873829603195,0.118508331477642,0.0890402421355247,0.106093518435955,0.0944215208292007,0.0860638916492462,0.0844244733452797,0.0908191427588462,0.0942434445023536,54,32707,4.0,cpu,ok,2026-08-22T00:08:54
gcn_gru,46,random_fixed,42,0.091751791536808,0.1697906255722046,6.321853399276733,0.0873680412769317,0.0922968015074729,0.1279750913381576,0.0978928059339523,0.1149545758962631,0.0982853919267654,0.0824010372161865,0.0828689709305763,0.0905286967754364,0.0982047468423843,37,32707,2.7,cpu,ok,2026-08-22T00:08:56
stgcn,42,random_fixed,42,0.0938920974731445,0.1673022955656051,6.58036470413208,0.0902000740170478,0.0943602323532104,0.1269524097442627,0.0976352468132972,0.1138770133256912,0.1006279960274696,0.0859015434980392,0.0858892276883125,0.0929605364799499,0.1027343943715095,47,32579,4.2,cpu,ok,2026-08-22T00:09:01
stgcn,43,random_fixed,42,0.0931311175227165,0.1709282547235489,6.320640444755554,0.0893466472625732,0.0943902656435966,0.126084104180336,0.0974883735179901,0.1143343821167945,0.0994525253772735,0.0847962945699691,0.0849276110529899,0.0923064947128295,0.0965333506464958,35,32579,3.1,cpu,ok,2026-08-22T00:09:04
stgcn,44,random_fixed,42,0.0938155427575111,0.1704677939414978,6.4655013382434845,0.0900551676750183,0.0937074720859527,0.1293476670980453,0.0994872748851776,0.1151556968688964,0.101538136601448,0.0852186381816864,0.0854645743966102,0.0926714837551117,0.0989779531955719,40,32579,3.4,cpu,ok,2026-08-22T00:09:07
stgcn,45,random_fixed,42,0.0881896093487739,0.1595936715602874,6.096507608890533,0.0846451967954635,0.0887637510895729,0.1172198057174682,0.0873778685927391,0.1047325804829597,0.0918520018458366,0.0818593353033065,0.0806508809328079,0.087475799024105,0.0909835994243621,42,32579,3.6,cpu,ok,2026-08-22T00:09:11
stgcn,46,random_fixed,42,0.092247150838375,0.166213646531105,6.524217128753662,0.0884922817349433,0.0925721898674964,0.126266747713089,0.0964527875185012,0.113012745976448,0.0990326479077339,0.0840746685862541,0.0842933356761932,0.0912404283881187,0.1012936234474182,44,32579,3.7,cpu,ok,2026-08-22T00:09:14
baseline_ahgnn,42,random_paired,42,0.1900177001953125,0.273646742105484,14.257392287254332,0.1794808208942413,0.1853427439928054,0.2823251485824585,0.1756592988967895,0.2086198478937149,0.1613233238458633,0.1750332713127136,0.1094627156853675,0.1854719817638397,0.1933557093143463,100,250243,9.4,cpu,ok,2026-08-22T00:09:24
baseline_ahgnn,43,random_paired,43,0.2281978130340576,0.5510320663452148,18.006928265094757,0.2284016758203506,0.2280422896146774,0.240848571062088,0.2304649204015731,0.2709035575389862,0.2314960956573486,0.2203835397958755,0.2114782482385635,0.2357096970081329,0.2167171686887741,79,250243,8.1,cpu,ok,2026-08-22T00:09:32
baseline_ahgnn,44,random_paired,44,0.227438598871231,0.3438246548175812,16.810166835784912,0.2249123007059097,0.2358539700508117,0.2612242400646209,0.2472303509712219,0.2554228007793426,0.2352577298879623,0.2114901542663574,0.2160930186510086,0.2271955609321594,0.2523724138736725,55,250243,6.1,cpu,ok,2026-08-22T00:09:38
baseline_ahgnn,45,random_paired,45,0.1747130006551742,0.2477617561817169,13.862797617912292,0.1720402687788009,0.1917743384838104,0.2284531891345977,0.1970200687646865,0.2636981904506683,0.1588184684514999,0.1533520668745041,0.173638254404068,0.1782305389642715,0.1780039370059967,100,250243,9.9,cpu,ok,2026-08-22T00:09:48
baseline_ahgnn,46,random_paired,46,0.2120770514011383,0.2704938352108001,17.076125741004944,0.2041747570037841,0.2189441472291946,0.2371357083320617,0.2094842791557312,0.239141896367073,0.1995513886213302,0.1974608451128006,0.2166463285684585,0.2109558135271072,0.2399814575910568,82,250243,8.3,cpu,ok,2026-08-22T00:09:56
